Metin,metin_lemmatized
urun amator kullanımlar için ideal. kuaför olmayan birine en pahalı ürünü verseniz de ortaya çıkaracağı eser bellidir. o yüzden parasına göre ideal bir ürün diyorum.,"['ur', '', 'kullanım', 'ideal', 'kuaför', 'olmayan', 'biri', 'pahalı', 'ürün', 'ver', 'ortay', 'çıkaracak', 'eser', 'belli', 'yüzde', 'para', 'göre', 'ideal', 'bir', 'ürün', 'de']"
ürünün kendisi oldukça şık ve güçlü elde tutma hissiyatı süper ama tarakları tam bir hayal kırıklığı... Taraklarının berbatlığı yüzünden bir yıldız eksik verdim..,"['ürün', 'kendi', 'oldukça', 'şık', 'güçlü', 'elde', 'tut', 'hissiyat', 'süper', 'tarak', 'tam', 'bir', 'hayal', 'kırıklık', 'tarak', 'berbatlık', 'yüzünden', 'bir', 'yıldız', 'eksik', 'verdi']"
Fiyatına göre güzel ürün.,"['fiyat', 'göre', 'güzel', 'ürün']"
Ürünü daha denemedim ama berberin de görmüştüm hoşuma gitti. Bende powertec in başka bir modeli var 5 yıldır kullanıyorum sakal traşı için haftada 2 yada 3 kez çok memnunum. Bunu da yedek olarak aldım. Bu daha sıfıra yakın alıyor. Umarım diğeri gibi uzun ömürlü olur. Micro usb ile şarj olması artısı. Diğer makineme göre daha sağlam görünüyor. Tavsiye ederim.,"['ürün', 'dene', 'berber', 'gör', 'hoş', 'git', 'bende', '', 'in', 'başka', 'bir', 'model', 'var', 'yıl', 'kullan', 'sakal', '', 'hafta', 'yad', 'memnun', 'bun', 'yedek', 'olarak', 'al', 'sıfır', 'yak', 'al', 'umar', 'diğeri', 'uzun', 'ömürlü', 'olur', '', '', 'şarj', 'olma', 'artı', 'diğer', 'makine', 'göre', 'sağlam', 'görün', 'tavsiye', 'eder']"
Ürün biraz küçük ama küçük olması dezavantaj değil aksine taşıma esnasında kolaylık sağlar,"['ürün', 'biraz', 'küçük', 'küçük', 'olma', 'dezavantaj', 'değil', 'aksine', 'taşı', 'esnasında', 'kolaylık', 'sağ']"
Sakal için uygun bir ürün.Sıfıra yakın kesiyor.,"['sakal', 'uygun', 'bir', '', 'yak', 'kes']"
Sakal ve vücut kullanımı için çok iyi bir makina. Saç kesimi içinde kullandım fena değil ama taraklarının numaraları çok kısa kesiyor. 3 numara ile saçlarımı kestim 1 numara oldu. Saç kesiminde dikkat edilmesi gerekir çok kısa oluyor,"['sakal', 'vücut', 'kullanım', 'iyi', 'bir', '', 'saç', 'kesim', 'içinde', 'kullan', 'fena', 'değil', 'tarak', 'numara', 'kısa', 'kes', 'numara', 'saç', 'kes', 'numara', 'oldu', 'saç', 'kesim', 'dikkat', 'edilme', 'gerek', 'kısa', 'ol']"
fiyat performans ürünü sahsen ben cok begendim bu kadar performans beklemiyordum. sakallari sıfira yakin alıyor. ürünün boyutu da minimal bir boyut guzel cihaz tavsiye ederim . ürünün elime gec ulasmasindan baska bir problemim yok,"['fiyat', 'performans', 'ürün', '', 'ben', '', '', 'kadar', 'performans', 'bekle', '', '', 'yakin', 'al', 'ürün', 'boyut', 'minimal', 'bir', 'boyut', '', 'cihaz', 'tavsiye', 'eder', 'ürün', 'elim', '', '', '', 'bir', 'problem', 'yok']"
Gayet kullanışlı,"['gayet', 'kullanışlı']"
"Beklemediğim kadar iyi performans, bu fiyata çok harika bence, çok memnunum. İyi ki almışım.","['beklemedik', 'kadar', 'iyi', 'performans', 'fiyat', 'harika', 'ben', 'memnun', 'iyi', 'al']"
teşekkürler hızlı kargo iyi ürün,"['teşekkür', 'hızlı', 'kargo', 'iyi', 'ürün']"
Makinenin şarj süresi çok iyi. Saç traşı yapacak kadar da güçlü. Tavsiye ederim,"['makine', 'şarj', 'süre', 'iyi', 'saç', '', 'yap', 'kadar', 'güçlü', 'tavsiye', 'eder']"
Ürün gerçekten güzel kesinlikle tavsiye ederim sorunsuz paket özenli eksik yok çalışmayan aksamı yok sorunsuz bir önüm tavsiye ederim,"['ürün', 'gerçekten', 'güzel', 'kesinlik', 'tavsiye', 'eder', 'sorunsuz', 'paket', 'özenli', 'eksik', 'yok', 'çalışmayan', 'aksam', 'yok', 'sorunsuz', 'bir', 'ön', 'tavsiye', 'eder']"
"evet ürünü beğendim,gayet kullanisli ve rahat,çok kisa bir zaman diliminde rahat sakal traşi oldum.N11 e ve Mağazaya teşekkür ederim.","['evet', 'ürün', '', '', '', '', 'bir', 'zaman', 'dilim', 'rahat', 'sakal', '', '', 'e', 'mağaza', 'teşekkür', 'eder']"
Makinanın kesimi çok güzel. Ben saçlarımı kesmek için aldım ve hiçbir sıkıntı yaşamadım. Bana göre tek eksi yanı taraklarının yetersiz oluşu.,"['', 'kesim', 'güzel', 'ben', 'saç', 'kesmek', 'al', 'hiçbir', 'sıkıntı', 'yaşa', 'bana', 'göre', 'tek', 'eksi', 'yan', 'tarak', 'yetersiz', 'oluş']"
Ürün oldukça iyi. Saç kesiminde kullanılabilir. Saç kesiminde çekme vs. bir sıkıntı yapmıyor. İyi çalışıyor. Ancak belirtmek gerekir ki aparatları ile kullanımda dahi 3 mm kısalıkta kesim yapılabiliyor. Kısa saç kesimini sevenler için ya da zaruret sebebiyle kabullenler için uygun olabilir. Ürün prc yani Çin üretimi ancak kullanım ya da malzeme olarak bir problemi yok. f/p olarak çok iyi seviyede olduğu söylenebilir.,"['ürün', 'oldukça', 'iyi', 'saç', 'kesim', 'kullanılabil', 'saç', 'kesim', 'çek', '', 'bir', 'sıkıntı', 'yap', 'iyi', 'çalış', 'ancak', 'belirtmek', 'gerek', 'aparat', 'kullanım', 'dahi', '', 'kısalık', 'kesim', 'yapılabil', 'kısa', 'saç', 'kesim', 'seven', 'zaruret', 'sebebiyle', '', 'uygun', 'olabilir', 'ürün', '', 'Çin', 'üretim', 'ancak', 'kullanım', 'malzeme', 'olarak', 'bir', 'problem', 'yok', '', 'olarak', 'iyi', 'seviye', 'olduk', 'söylenebil']"
Fiyatına göre gayet iyi ve kullanışlı bir ürün. Tavsiye ederim.,"['fiyat', 'göre', 'gayet', 'iyi', 'kullanışlı', 'bir', 'ürün', 'tavsiye', 'eder']"
Sadece 3 tane 1-2-3 mm ucu var. Ancak çok kısa sakal tıraşı olursunuz.,"['sade', 'tane', '', 'uç', 'var', 'ancak', 'kısa', 'sakal', 'tıraş', 'olur']"
ürün kesinlikle sadece sakal için. saç için çok kısa kesim yapıyor. alırken bunu unutmayın. şarjla çalışma süresi oldukça uzun.,"['ürün', 'kesinlik', 'sade', 'sakal', 'saç', 'kısa', 'kesim', 'yap', 'al', 'bun', 'unut', 'şarj', 'çalış', 'süre', 'oldukça', 'uzun']"
ürün elime gelmeden geri iade edilmiş insan bir mesaj atar yada konturu yoksa caldir ben arayım,"['ürün', 'elim', 'gelmeden', 'geri', 'iade', 'edil', 'insan', 'bir', 'mesaj', 'ata', 'yad', 'kontur', 'yoksa', '', 'ben', 'ara']"
Çok güçlü bir makine. Hem Türk malı hem de bu kadar başarılı. Kesinlikle alınmalı. İzsiz tertemiz kesiyor. 3 ayrı tarağı var ve tak çıkar yapması çok kolay,"['güçlü', 'bir', 'makine', 'Türk', 'mal', 'kadar', 'başarılı', 'kesinlik', 'alın', 'izsiz', 'tertemiz', 'kes', 'ayrı', 'tarak', 'var', 'tak', 'çık', 'yapma', 'kolay']"
Kendi küçük marifeti büyük..,"['kendi', 'küçük', 'marifet', 'büyük']"
Sakal ve ense traşı için fiyatına göre diğerlerinden daha güzel bir makinedir. Yalnız traş kesiminden sonra içerde kalan kılların temizliğini yapmak için vidaların sökülüp tekrar takılması zaman almaktadır biraz uğraştırmaktadır. Onun için 4 yıldız verdim.,"['sakal', 'ense', '', 'fiyat', 'göre', 'diğer', 'güzel', 'bir', 'makine', 'yalnız', '', 'kesim', 'sonra', 'içer', 'kalan', 'kıl', 'temizlik', 'yapmak', 'vidalar', 'sökülüp', 'tekrar', 'takılma', 'zaman', 'almak', 'biraz', 'uğraştırmak', 'on', 'yıldız', 'verdi']"
ürün çok güzel canavar gibi tavsiye ederim ????,"['ürün', 'güzel', 'canavar', 'tavsiye', 'eder']"
"Ürün tahminimden küçük ebatta. Malzeme kalitesi, işçilik güzel. Birleşme noktaları, sonlandırma gayet başarılı. Ele takılan her hangi bir çapak vs yok. Cihazın bıçaklarının birleştiği uç nokta aynı hizada. Yani bıçaklardan biri diğerinden aşağıda veya yukarıda durmuyor. Dolayısıyla cihaz sıfıra yakın kesim yapabiliyor. Bu bakımdan çok başarılı. 3 numara tarağın daha büyüğü yok. Kısa saç sevenler için ideal. Saçı çekme, keserken zorlanma yapmadı. Yağ gibi çalışıyor. Fiyatının üzerinde diyebilirim.","['ürün', 'tahminî', 'küçük', 'ebat', 'malzeme', 'kalite', 'işçilik', 'güzel', 'birleş', 'nokta', 'sonlandır', 'gayet', 'başarılı', 'ele', 'takılan', 'hangi', 'bir', 'çapak', '', 'yok', 'cihaz', 'bıçak', 'birleştik', 'uç', 'nokta', 'aynı', 'hiza', 'bıçak', 'diğeri', 'aşağı', 'yukarı', 'dur', 'dolayısıyla', 'cihaz', 'sıfır', 'yak', 'kesim', 'yapabil', 'bakımdan', 'başarılı', 'numara', 'tarak', 'büyük', 'yok', 'kısa', 'saç', 'seven', 'ideal', 'saçı', 'çek', 'kes', 'zorlan', 'yap', 'yağ', 'çalış', 'fiyat', 'üzerinde', 'diyebil']"
"Ürünü saç kesmek için aldım, ürün bit kadar ölçülerinide o yüzden yazmamış zaten sitede satıcı. Bi resim koymuş insan bişey zannediyor. 3 tane ucu var uçların en büyüğü normal berberlerdeki 1 numaraya denk geliyor 3 mm yani saç kesmeye kalksanız jiletle kafanızı kazıyın daha iyi. Kaldıki ürün o kadar küçük ki kesinlikle saç kesemezsiniz. Ürünü prize dahi sokmadan aynı gün iade ettim. Satıcı kabul etmedi hijyenik ürünmüş. 86 TL ye aldığım ürüne mağdur olmamam için enonbir 60 tl hediye çeki verdi. Satıcıdan kesinlikle uzak durun.","['ürün', 'saç', 'kesmek', 'al', 'ürün', 'bit', 'kadar', '', 'yüzde', 'yaz', 'zaten', 'site', 'satıcı', '', 'resim', 'koy', 'insan', '', 'zannet', 'tane', 'uç', 'var', 'uç', 'büyük', 'normal', 'berber', 'numara', 'denk', 'gel', '', 'saç', 'kes', 'kalk', 'jilet', 'kafa', 'kazı', 'iyi', '', 'ürün', 'kadar', 'küçük', 'kesinlik', 'saç', 'kes', 'ürün', 'priz', 'dahi', 'sokmadan', 'aynı', 'gün', 'iade', 'et', 'satıcı', 'kabul', 'et', 'hijyenik', 'ürün', '', 'ye', 'aldık', 'ürün', 'mağdur', 'olmama', '', '', 'hediye', 'çeki', 'verdi', 'satıcı', 'kesinlik', 'uzak', 'duru']"
bu kadar beklemiyordum şaşırttı beni . çok iyi makine,"['kadar', 'bekle', 'şaşırt', 'ben', 'iyi', 'makine']"
Bende powertec TR 2700 model vardı ben onu kullanıyordum sakalı sıfır almadığı için bunu internetten araştırıp babam için sipariş verdik gerçektende 10 numara 5 yıldız bir ürün,"['bende', '', '', 'model', 'var', 'ben', 'on', 'kullan', 'sakalı', 'sıfır', 'almadık', 'bun', 'internet', 'araştırıp', 'baba', 'sipariş', 'ver', 'gerçekten', 'numara', 'yıldız', 'bir', 'ürün']"
"Ürünü yorumlara bakarak aldım ve gelir gelmez kesciliğini denedim. Ürün hatalıydı ve kesinlikle kesmiyordu. Hemen aynı gün iade talebi açıp kargo parasını da ödeyerek geri gönderdim. Ürün ulaştığında iade almadıklarını söylediler, ben de ürünü değiştirmelerini istedim, en azından kesen bir makine gönderilsin istedim, onu da yapmadılar. Çalışmayan ürün ile beni bıraktılar. Hiç bir ilgi alaka da yoktu. Gönderdiğim ürün şu an nerede ve ne durumdadır bilgim de bulunmuyor. Alışveriş yapacak arkadaşlarım bunları göz önünde bulundursunlar.","['ürün', 'yorum', 'bakarak', 'al', 'gelir', 'gel', '', 'dene', 'ürün', 'hatalı', 'kesinlik', 'kes', 'hemen', 'aynı', 'gün', 'iade', 'talep', 'açıp', 'kargo', 'para', 'ödeyerek', 'geri', 'gönder', 'ürün', 'ulaştığında', 'iade', 'almadık', 'söyle', 'ben', 'ürün', 'değiştirme', 'iste', 'azı', 'kesen', 'bir', 'makine', 'gönderil', 'iste', 'on', 'yap', 'çalışmayan', 'ürün', 'ben', 'bırak', 'bir', 'ilgi', 'alaka', 'yoktu', 'gönderdik', 'ürün', 'an', 'durum', 'bilgi', 'bulun', 'alışveriş', 'yap', 'arkadaş', 'bunlar', 'göz', 'ön', 'bulundur']"
Ürüne gelince ürün efsane.Sıfırı çok güzel.Düşünmeden alabilirsiniz.Usb ile şarj olması ayrı bi güzel.Ayrıca şarjı bitse dahi şarja takarak traşa devam edebilirsiniz.,"['ürün', 'gelince', 'ürün', '', '', '', 'şarj', 'olma', 'ayrı', '', '', 'şarj', 'bit', 'dahi', 'şarj', 'takarak', '', 'devam', 'edebil']"
Ürün anlatıldığı gibi güzel kaliteli olduğun ilk elinize aldığınız da belli ediyor parasına göre güzel tavsiye ederim,"['ürün', 'anlatıldık', 'güzel', 'kaliteli', 'olduk', 'ilk', 'el', 'aldık', 'belli', 'et', 'para', 'göre', 'güzel', 'tavsiye', 'eder']"
evet güzel ürün tavsiye ederim,"['evet', 'güzel', 'ürün', 'tavsiye', 'eder']"
ürün anlatıldığı gibi teşekkürler gönderici firmaya kullanımında da bakalım artık şans işi,"['ürün', 'anlatıldık', 'teşekkür', 'gönderici', 'firma', 'kullanım', 'bak', 'artık', 'şans', 'iş']"
Gayet güzel bir ürün.,"['gayet', 'güzel', 'bir', 'ürün']"
urun cok guzel o fiyata alinabilecek en iyi urundur,"['ur', '', '', 'fiyat', '', 'iyi', 'ur']"
Makinenin sakalınıza dokunması yetiyir gercekten güzel bazı premium markalara bunum 5 katı para verip beşte biri kadar bile verim alamayan biri olarak yazıyorum...,"['makine', 'sakalı', 'dokunma', '', '', 'güzel', '', 'marka', 'bunum', 'katı', 'para', 'verip', 'beş', 'kadar', 'bile', 'verim', 'alamayan', 'olarak', 'yaz']"
"Ürün özellikle sakal traşı için oldukça iyi, saç tıraşı için tasarlanmamış oldukça kısa kesiyor fakat sorun yok. Saçlardan tamamen kurtulmak isteyenler için gayet ideal.","['ürün', 'özellik', 'sakal', '', 'oldukça', 'iyi', 'saç', 'tıraş', 'tasarlan', 'oldukça', 'kısa', 'kes', 'fakat', 'sorun', 'yok', 'saç', 'tamamen', 'kurtulmak', 'isteyen', 'gayet', 'ideal']"
ürün fiyatına göre müthiş & Tutcar & Alın Bence BEDAVA,"['ürün', 'fiyat', 'göre', 'müthiş', '', 'al', 'ben', 'bedava']"
hasarlı ürün yollayıp değişim yapmayan bir firma,"['hasarlı', 'ürün', 'yollayıp', 'değiş', 'yapmayan', 'bir', 'firma']"
1. Şık 2. Hafif 3. Sağlam 4. Uzun şarj süresi 5. Standart ses yüksekliği 6. Geç gelen kargo Fiyat performans açısından notum tam.,"['şık', 'hafif', 'sağlam', 'uzun', 'şarj', 'süre', 'standart', 'ses', 'yükseklik', 'geç', 'gelen', 'kargo', 'fiyat', 'performans', 'açı', 'not', 'tam']"
Evet çok beğendim,"['evet', 'beğen']"
emeği geçenlere teşekkür ederiz başarılı,"['emek', 'geçen', 'teşekkür', 'eder', 'başarılı']"
Gayet güzel estetik bi cihaz kaliteli görünüyor,"['gayet', 'güzel', 'estetik', '', 'cihaz', 'kaliteli', 'görün']"
çok teşekkür ederim hayırlı ramazanlar,"['teşekkür', 'eder', 'hayırlı', 'ramazan']"
Anlatıldığı gibi güzel,"['anlatıldık', 'güzel']"
ürüne söz yok fiyatinin en iyisi fakat paketleme olmamiş kargo posetine koyulup gonderilmis havali posete sarilabilirdi.,"['ürün', 'söz', 'yok', '', 'iyi', 'fakat', 'paketle', '', 'kargo', '', 'koyulup', '', 'havali', '', '']"
Fiyat ve performans iyi sac icin alinmaz sakal ve ense icin guzel pahali markalara gerek yok,"['fiyat', 'performans', 'iyi', 'sac', '', '', 'sakal', 'ense', '', '', '', 'marka', 'gerek', 'yok']"
Ürünü beğendim saç için pek uygun değil ama sakal için güzel ben saçlarımı kestim ama uğraştırdı tarakları az ve kısa daha çok sakal için bu ürün saçı çekme olayı olmadı beğendim keşke çok tarağı olsaydı en büyük tarağı 3 mm,"['ürün', 'beğen', 'saç', 'pek', 'uygun', 'değil', 'sakal', 'güzel', 'ben', 'saç', 'kes', 'uğraştır', 'tarak', 'kısa', 'sakal', 'ürün', 'saçı', 'çek', 'olay', 'ol', 'beğen', 'keşke', 'tarak', 'ol', 'büyük', 'tarak', '']"
Hem urunu hemde satıcıyı kesınlıkle tavsiye ederim. Bu donemde cok hızlı teslimat.,"['ur', 'he', 'satıcı', '', 'tavsiye', 'eder', 'done', '', 'hızlı', 'teslimat']"
Ürünü viranşehire sipariş ettim. Bireciğe göndermişler. Yurtiçi kargo isteme adresimi diğer ilçeye vermiş.,"['ürün', 'Viranşehir', 'sipariş', 'et', 'birecik', 'gönder', '', 'kargo', 'iste', 'adres', 'diğer', 'ilçe', 'ver']"
Evet çok güzel bir cihaz herkese tavsiye ederim.şarjı çok iyi kesimi de çok iyi,"['evet', 'güzel', 'bir', 'cihaz', 'herkes', 'tavsiye', '', 'iyi', 'kesim', 'iyi']"
sakal icin çok güzel bir makine. Saç icin uygun değil çünkü uçları çok kısa kesiyor. kısa saç kesmek isteyen teredütsüz alabilir. kargo çok hızlıydı emeği geçen herkese teşekkürler.,"['sakal', '', 'güzel', 'bir', 'makine', 'saç', '', 'uygun', 'değil', 'uç', 'kısa', 'kes', 'kısa', 'saç', 'kesmek', 'isteyen', '', 'alabil', 'kargo', 'hızlı', 'emek', 'geçen', 'herkes', 'teşekkür']"
Ürün 0.1 mm kesiyor çok iyi,"['ürün', '', 'kes', 'iyi']"
Ürün beklediğimden iyi çıktı neredeyse sıfıra yakın alıyor sakalları çekme vs. de yapmıyor.,"['ürün', 'bekledik', 'iyi', 'çıktı', 'neredeyse', 'sıfır', 'yak', 'al', 'sakal', 'çek', '', 'yap']"
SAKAL İÇİN ÇOK İYİ AMA SAÇI KESMİYOR ONA GÖRE ALIN...,"['sakal', 'iyi', '', 'kes', 'ona', 'göre', 'ali']"
dısarda bu fiyata dandik ürünler alacağıma burdan kuaförler için olandan alırım gayet kaliteli ve güçlü motoru var,"['', 'fiyat', 'dandik', 'ürün', 'alacak', '', 'kuaför', 'olan', 'al', 'gayet', 'kaliteli', 'güçlü', 'motor', 'var']"
Hayır. makinaya takılan tarakları iyi değil,"['hayır', '', 'takılan', 'tarak', 'iyi', 'değil']"
Ürün geldiği gün iade ettim iade talebimde reddedildi paranızı çöpe atmayın ürün traş ederken kesmiyor yoluyor resmen!!!,"['ürün', 'geldik', 'gün', 'iade', 'et', 'iade', 'talep', 'reddedil', 'para', 'çöp', 'at', 'ürün', '', 'eder', 'kes', 'yol', 'resmen']"
Ben hem görüntü hem de işlevsel olarak bu fiyata bu kadar kaliteli bir ürün beklemiyordum. Bence kaçırmayın,"['ben', 'görüntü', 'işlevsel', 'olarak', 'fiyat', 'kadar', 'kaliteli', 'bir', 'ürün', 'bekle', 'ben', 'kaçır']"
Ürün dört dörtlük değil iki dörtlük bir ürün elime ulaşması 10 günden fazla sürdü önce firma geç kargoladı sonra kargo hatalı gözüktü 18 ocakta teslim edilmiş olarak gözüktü sonra tekrar tekra hatalarla dolu bir serüven yaşadım. Baktım olacak gibi değil gittim kendim aldım kargo şubesinden ürüne gelince sakal ve ense için ideal ama saç için tavsiye etmem hem taraklar yetersiz hemde küçük makina...,"['ürün', 'dört', 'dörtlük', 'değil', 'iki', 'dörtlük', 'bir', 'ürün', 'elim', 'ulaşma', 'günde', 'fazla', 'sür', 'ön', 'firma', 'geç', 'kargola', 'sonra', 'kargo', 'hatalı', 'gözük', 'ocak', 'teslim', 'edil', 'olarak', 'gözük', 'sonra', 'tekrar', '', 'hata', 'dolu', 'bir', 'serüven', 'yaşa', 'bak', 'olacak', 'değil', 'git', 'kendi', 'al', 'kargo', 'şube', 'ürün', 'gelince', 'sakal', 'ense', 'ideal', 'saç', 'tavsiye', 'et', 'tarak', 'yetersiz', 'he', 'küçük', '']"
"Sakal,Ense için alın tereddüt etmeyin.Satıcı güvenilir. Bu ürünü burdan başka bir yerden bu kadar ucuza alamazsınız en ucuz şuanda burası. Saç için Powertec TR-3200 alın fakat 130-150? bandına inmesi lazım şuan ürün olmadığı için fiyatlar yüksek bekleyin.","['', 'al', 'tereddüt', '', 'güvenilir', 'ürün', '', 'başka', 'bir', 'yer', 'kadar', 'ucuz', 'al', 'ucuz', 'şua', 'burası', 'saç', '', '', 'al', 'fakat', 'bant', 'inme', 'lazım', 'şua', 'ürün', 'olmadık', 'fiyat', 'yüksek', 'bekleyin']"
Arkadaşlar ürün çok iyi degil bundan önce bu markanin bir ucuz modelini kullanmıştım o daha iyi,"['arkadaş', 'ürün', 'iyi', '', 'bun', 'ön', '', 'bir', 'ucuz', 'model', 'kullan', 'iyi']"
evet ürün anlatıldığı gibi,"['evet', 'ürün', 'anlatıldık']"
Kaliteli ürün başarılı mağaza pazar günü teslimat yapan yurtiçi kargo hepsine Tşk ederim,"['kaliteli', 'ürün', 'başarılı', 'mağaza', 'pazar', 'günü', 'teslimat', 'yapan', '', 'kargo', 'hepsi', '', 'eder']"
"Urun genel olarak iyi, şarjı dolu olarak geldi aralıksız 35 dk çalıştı gücünde bir eksilme olmadı. eğer sacinizi çok kısa kesmeyecekseniz ürün ile gelen taraklar işinize yaramaz ayrıca büyük numara taraklar almanız gerekir..","['ur', 'genel', 'olarak', 'iyi', 'şarj', 'dolu', 'olarak', 'gel', 'aralıksız', '', 'çalış', 'gücün', 'bir', 'eksil', 'ol', '', 'kısa', 'kes', 'ürün', 'gelen', 'tarak', 'iş', 'yaramaz', 'ayrı', 'büyük', 'numara', 'tarak', 'alman', 'gerek']"
sakal için ideal,"['sakal', 'ideal']"
Ürünü eşim ve oğlum için aldım. Sıfır sakal kesimi olmuyor. Saç kesimi rahattı. Memnun kaldılar.,"['ürün', 'eşim', 'oğul', 'al', 'sıfır', 'sakal', 'kesim', 'ol', 'saç', 'kesim', 'rahat', 'memnun', 'kal']"
Güzel ürün hızlı kargo,"['güzel', 'ürün', 'hızlı', 'kargo']"
güzel bir ürun almanizi tavsiye ederim parasini fazlasiyla hakediyor,"['güzel', 'bir', '', '', 'tavsiye', 'eder', '', '', 'hâket']"
Ürün fiyatına göre gayet iyi. Farklı boylarda tıraş yapablmeniz için 3 adet tarağı var. Hiçbir tarak kullanmadığınızda ise jilete yakın kesiyor. Şarjı da iyi dayanıyor.,"['ürün', 'fiyat', 'göre', 'gayet', 'iyi', 'farklı', 'boy', 'tıraş', '', 'adet', 'tarak', 'var', 'hiçbir', 'tarak', 'kullanmadık', 'jilet', 'yak', 'kes', 'şarj', 'iyi', 'dayan']"
hayır arkadaşlar sakın burda bişey almayın,"['hayır', 'arkadaş', 'sakın', '', '', 'al']"
Parasına göre çokiyi parasının alabileceği en iyisi. Gayet güzelkesiyor tavsiyeederim,"['para', 'göre', '', 'para', 'alabilecek', 'iyi', 'gayet', '', 'tavsiyeet']"
Beğendim. Zamanında ve eksiksiz geldi. Teşekkürler,"['beğen', 'zamanında', 'eksiksiz', 'gel', 'teşekkür']"
Dediğim gibi saç makinası değil sakal ve ense düzeltme makinası diyorlar kuaför arkadaşlarım. Ama ben tek seferde sorunsuz bir şekilde kafamı sıfıra vurdum. Bende başarılı ama dediğim gibi ben anlamam sadece denileni ve YouTube da izlediğim kuaför yorumlarından böyle yazdım almak isteyenler kendileri bilir ben memnun kaldım benim için yeterli.,"['dedik', 'saç', '', 'değil', 'sakal', 'ense', 'düzelt', '', 'de', 'kuaför', 'arkadaş', 'ben', 'tek', 'sefer', 'sorunsuz', 'bir', 'şekil', 'kafa', 'sıfır', 'vur', 'bende', 'başarılı', 'dedik', 'ben', 'anla', 'sade', 'denilen', '', 'izledik', 'kuaför', 'yorum', 'böyle', 'yaz', 'almak', 'isteyen', 'kendi', 'bilir', 'ben', 'memnun', 'kal', 'ben', 'yeterli']"
"Ürünü ben de birçoğumuz gibi karantina sürecinde aldım. Alırken tereddütlerim vardı ancak ilk kullanımdan sonra zerre kadar kuşkum kalmadı. Nerdeyse 3 aya yakın kesmediğim saçım ve 1 aya yakın kesmediğim sakalım vardı. Makineyi eşime teslim ettim ve saçlarımı 3mm tarağı ile sakallarımı da tarafsız sıfır şekilde kestik. Sonuç, gayet iyi. Sıfıra yakın alıyor. Saçta kullanılmaz diyenler vardı. Bu konuda tereddütlerim vardı ancak gerçekten uzun olan saçlarımı gayet iyi aldı. Elbette 3 dakikada yapmadık saç tıraşını ancak bu bütçede bir makine için gayet iyi aldığını düşünüyorum ve en önemlisi ne saçta ne sakalda hiçbir şekilde ""çekme"" yapmadı. Zira bundan Philips 5050 serisi ve Braun olmak üzere iki farklı makine kullandım ve inanılmaz çekiyordu. Kısacası kısa saç sevenler için gayet ideal bir cihaz. Makine hakkında tek eksik puanım tarak çeşidi olabilir. 3 farklı tarak geliyor. En büyüğü 3 MM idi. 6 ve 9 MM tarak da olsa değme keyfine...","['ürün', 'ben', 'birçoğu', 'karantina', 'süreç', 'al', 'al', 'tereddüt', 'var', 'ancak', 'ilk', 'kullanım', 'sonra', 'zerre', 'kadar', 'kuşku', 'kal', '', 'aya', 'yak', 'kesmedik', 'saçı', 'aya', 'yak', 'kesmedik', 'sakalı', 'var', 'makine', 'eşim', 'teslim', 'et', 'saç', '', 'tarak', 'sakal', 'tarafsız', 'sıfır', 'şekil', 'kes', 'sonuç', 'gayet', 'iyi', 'sıfır', 'yak', 'al', 'saçt', 'kullanıl', 'diyenler', 'var', 'konu', 'tereddüt', 'var', 'ancak', 'gerçekten', 'uzun', 'olan', 'saç', 'gayet', 'iyi', 'al', 'elbette', 'dakika', 'yap', 'saç', 'tıraş', 'ancak', 'bütçe', 'bir', 'makine', 'gayet', 'iyi', 'aldık', 'düşün', 'önemli', 'saçt', 'sakal', 'hiçbir', 'şekil', 'çek', 'yap', 'zira', 'bun', '', 'seri', '', 'olmak', 'üzere', 'iki', 'farklı', 'makine', 'kullan', 'inanılmaz', 'çek', 'kısacası', 'kısa', 'saç', 'seven', 'gayet', 'ideal', 'bir', 'cihaz', 'makine', 'hakkında', 'tek', 'eksik', 'puan', 'tarak', 'çeşit', 'olabilir', 'farklı', 'tarak', 'gel', 'büyük', '', 'idi', '', 'tarak', 'ol', 'değ', 'keyfî']"
evet gayet başarılı,"['evet', 'gayet', 'başarılı']"
güzel herkes begenir,"['güzel', 'herkes', '']"
Ürün çok güzel bir sakal makinesi fakat  saç için sakın almayın,"['ürün', 'güzel', 'bir', 'sakal', 'makine', 'fakat', 'saç', 'sakın', 'al']"
Babama aldım gayet memnun,"['baba', 'al', 'gayet', 'memnun']"
Güzel görünüyor. Kullanım sonrası göreceğiz.,"['güzel', 'görün', 'kullanım', 'sonra', 'göreceğiz']"
Güzel ürün iletişimi iyi satıcı teşekkürler...,"['güzel', 'ürün', 'iletiş', 'iyi', 'satıcı', 'teşekkür']"
"Fiyatına göre kesinlikle başarılı. Tavsiye ederim. Sadece sıfıra yakın kesim yapabiliyorsunuz, en büyük başlık 3mm. Bence o da 2 gibi alıyor.","['fiyat', 'göre', 'kesinlik', 'başarılı', 'tavsiye', 'eder', 'sade', 'sıfır', 'yak', 'kesim', 'yapabil', 'büyük', 'başlık', '', 'ben', 'al']"
Gayet güzel ürün tavsiye ederim içiniz rahat sipariş verebilirsiniz.,"['gayet', 'güzel', 'ürün', 'tavsiye', 'eder', 'için', 'rahat', 'sipariş', 'verebil']"
